id;Kanji;Strokes;JLPT-test;"Name of Radical";"Reading within Joyo";"Reading beyond Joyo"
513;月;4;5;"Tsuki, Tsukihen";ゲツ、ガツ、つき;
516;見;7;5;Miru;ケン、み-る、み-える、み-せる;まみ、ら
1031;食;9;5;"Shoku, Shokuhen";ショク、[ジキ]、く-う、く-らう、た-べる;は
270;間;12;5;Mongamae;カン、ケン、あいだ、ま;あ、か、い
1556;読;14;5;"Gon, Gonben";ドク、トク、[トウ]、よ-む;と、ど
1823;母;5;5;"Haha, Hahanokan";ボ、はは;モ
1312;大;3;5;Dai;ダイ、タイ、おお、おお-きい、おお-いに;ダ
1574;南;9;5;Juu;ナン、[ナ]、みなみ;
41;一;1;5;Ichi;イチ、イツ、ひと、ひと-つ;
1577;二;2;5;Ni;ニ、ふた、ふた-つ;ジ
1070;人;2;5;"Hito, Ninben, Hitoyane";ジン、ニン、ひと;
1583;日;4;5;"Nichi, Nichihen";ニチ、ジツ、ひ、か;
1584;入;2;5;Iru;ニュウ、い-る、い-れる、はい-る;ジュ、しお
305;気;6;5;Kigamae;キ、ケ;いき
818;時;10;5;"Nichi, Nichihen";ジ、とき;シ
1081;水;4;5;"Mizu, Sanzui, Shitamizu";スイ、みず;
1593;年;6;5;Ichijuu;ネン、とし;
58;右;5;5;"Kuchi, Kuchihen";ウ、ユウ、みぎ;
61;雨;8;5;"Ame, Amekanmuri";ウ、あめ、[あま];
829;七;2;5;Ichi;シチ、なな、なな-つ、[なの];シツ
576;五;4;5;Ni;ゴ、いつ、いつ-つ;
578;午;4;5;Juu;ゴ;うま
580;後;9;5;Gyooninben;ゴ、コウ、のち、うし-ろ、あと、おく-れる;
1348;男;7;5;"Ta, Tahen";ダン、ナン、おとこ;
584;語;14;5;"Gon, Gonben";ゴ、かた-る、かた-らう;
843;車;7;5;"Kuruma, Kurumahen";シャ、くるま;
2125;六;4;5;Hachi;ロク、む、む-つ、むっ-つ、[むい];リク
2130;話;13;5;"Gon, Gonben";ワ、はな-す、はなし;
1107;生;5;5;Umareru;セイ、ショウ、い-きる、い-かす、い-ける、う-まれる、う-む、お-う、は-える、は-やす、き、なま;な
1875;北;5;5;Hi;ホク、きた;
1876;木;4;5;"Ki, Kihen";ボク、モク、き、[こ];
1109;西;6;5;Nishi;セイ、サイ、にし;
